year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,1,5188,48.2,-1.0,,0.0,
2014,1,5188,36.2,-1.0,,0.0,
2014,1,5188,85.4,-1.0,,0.0,
2014,1,5188,73.7,-1.0,,0.0,
2014,1,5188,123.7,-1.0,,0.0,
2014,1,5188,109.3,-1.0,,0.0,
2014,1,5188,69.1,-1.0,,0.0,
2014,1,5188,70.80000000000001,-1.0,,0.0,
2014,1,5188,58.8,-1.0,,0.0,
2014,1,5188,74.5,-1.0,,0.0,
2014,1,5188,45.2,-1.0,,0.0,
2014,1,5188,33.4,-1.0,,0.0,
2014,2,5057,48.2,-1.0,,0.0,
2014,2,5057,36.2,-1.0,,0.0,
2014,2,5057,85.4,-1.0,,0.0,
2014,2,5057,73.7,-1.0,,0.0,
2014,2,5057,123.7,-1.0,,0.0,
2014,2,5057,109.3,-1.0,,0.0,
2014,2,5057,69.1,-1.0,,0.0,
2014,2,5057,70.80000000000001,-1.0,,0.0,
2014,2,5057,58.8,-1.0,,0.0,
2014,2,5057,74.5,-1.0,,0.0,
2014,2,5057,45.2,-1.0,,0.0,
2014,2,5057,33.4,-1.0,,0.0,
2014,3,4681,48.2,-1.0,,0.0,
2014,3,4681,36.2,-1.0,,0.0,
2014,3,4681,85.4,-1.0,,0.0,
2014,3,4681,73.7,-1.0,,0.0,
2014,3,4681,123.7,-1.0,,0.0,
2014,3,4681,109.3,-1.0,,0.0,
2014,3,4681,69.1,-1.0,,0.0,
2014,3,4681,70.80000000000001,-1.0,,0.0,
2014,3,4681,58.8,-1.0,,0.0,
2014,3,4681,74.5,-1.0,,0.0,
2014,3,4681,45.2,-1.0,,0.0,
2014,3,4681,33.4,-1.0,,0.0,
2014,4,4003,48.2,-1.0,,0.0,
2014,4,4003,36.2,-1.0,,0.0,
2014,4,4003,85.4,-1.0,,0.0,
2014,4,4003,73.7,-1.0,,0.0,
2014,4,4003,123.7,-1.0,,0.0,
2014,4,4003,109.3,-1.0,,0.0,
2014,4,4003,69.1,-1.0,,0.0,
